"NamespacePrefix","LocalTerm","Literal","Definition"
"aamva_d20","AAMVA","American Association of Motor Vehicle Administrators",""
"aamva_d20","ACD","AAMVA Code Dictionary",""
"aamva_d20","CDL","Commercial Driver's License",""
"aamva_d20","CFR","","Code of Federal Regulations"
"aamva_d20","CMV","Commercial Motor Vehicle",
"aamva_d20","D20","","Standard for Traffic Records Systems"
"aamva_d20","HazMat","Hazardous Materials",
"aamva_d20","HME","Hazardous Material Endorsement",""
"aamva_d20","TSA","Transportation Security Administration",""
"ag","ACRSI","Acreage and Crop Reporting Streamlining Initiative",
"ag","AIP","Approved Insurance Provider",""
"ag","ANSI","American National Standards Institute",
"ag","CLU","Common Land Unit",
"ag","CM","Common Management",""
"ag","CVT","Commodity Validation Table",
"ag","FIPS","Federal Information Processing Standards",""
"ag","FSA","Farm Service Agency",
"ag","GML","Geography Markup Language",""
"ag","INCITS","InterNational Committee for Information Technology Standards",""
"ag","MICS","Mobile Implement Control System",
"ag","NRCS","Natural Resources Conservation Service",""
"ag","RMA","Risk Management Agency",
"ag","SCIMS","Service Center Information Management System",""
"ag","USDA","United States Department of Agriculture",""
"ag_codes","CLU","Common land unit",""
"ag_codes","CVT","Crop Validation Table",""
"ag_codes","FSA","Farm Service Agency",""
"ag_codes","NRCS","National Resources Conservation Service",""
"ag_codes","RMA","Risk Management Agency",""
"biom","3D","Three-dimensional",
"biom","ADA","American Dental Association",
"biom","ANSI","American National Standards Institute",""
"biom","autosomal","","Pertaining to a chromosome that is not a sex chromosome."
"biom","AVI","Audio Video Interleaved",""
"biom","CBEFF","Common Biometric Exchange Formats Framework",""
"biom","Cheiloscopic","","Cheiloscopy is a forensic investigation technique that deals with identification of humans based on lips traces."
"biom","CSP","Color spaces",""
"biom","Diarization","","The process of partitioning an input audio stream into homogeneous segments according to the speaker identity."
"biom","DII","Diarization Indicator",""
"biom","DNA","Deoxyribonucleic acid",
"biom","DNASTR","Deoxyribonucleic acid short tandem repeat",
"biom","EFS","Extended Feature Set",""
"biom","EJI","Entire Joint Image",""
"biom","EJIs","Entire Joint Image",""
"biom","Electropherogram","","A record or chart produced when electrophoresis is used in an analytical technique, primarily in the fields of molecular biology or biochemistry."
"biom","FTF","free text field",""
"biom","FTO","feature - field occurrence",""
"biom","GENC","Geopolitical Entities, Names, and Codes (GENC) Standard",
"biom","HV","Hypervariable",""
"biom","IEC","International Electrotechnical Commission",""
"biom","INCITS","InterNational Committee for Information Technology Standards",""
"biom","ISO","International Organization for Standardization",""
"biom","ITL","Information Technology Laboratory",""
"biom","MISC","Miscellaneous",""
"biom","Mito","Mitochondrial",
"biom","NCIC","National Crime Information Center",
"biom","NIST","National Institute of Standards and Technology",""
"biom","PHD","Photo Capture Date",""
"biom","ppi","Pixels per inch",""
"biom","ppmm","Pixels per millimeter",""
"biom","PUM","Position Uncertainty",""
"biom","SBCC","Subject Body Class Code",""
"biom","SBSC","Subject Body Status Code",""
"biom","SMS","Scar/Mark/Tattoo Size",""
"biom","SMT","Scars, Marks, and Tattoos",""
"biom","SPC","Speaker Plurality Code",""
"biom","STR","Short tandem repeat",""
"biom","TDD","Tooth data detail",""
"biom","Tenprint","","(1) A generic reference to examinations performed on intentionally recorded friction ridge impressions. (2) A controlled recording of an individual’s available fingers using ink, electronic imaging, or other medium."
"biom","TLT","Temporary Line Thickness",""
"biom","UTC","Coordinated Universal Time",
"biom","VCD","Vocal content diary",""
"biom","VOC","Vocal Content",""
"biom","X-STR","Short tandem repeat (STR) on the X-chromosome",""
"biom","Y-STR","Short tandem repeat (STR) on the Y-chromosome",""
"cbrn","Bio","Biological",
"cbrn","CBP","United States Customs and Border Protection",""
"cbrn","CBRNE","Chemical, Biological, Radiological, Nuclear and high- yield Explosives",
"cbrn","CC","cubic centimeter (cc) units",
"cbrn","Chem","Chemical",
"cbrn","CM","Centimeter",
"cbrn","CPS","Counts per second",
"cbrn","FWHM","Full width at half maximum",
"cbrn","Geo","Geographic",
"cbrn","IDREF","Identifier reference",""
"cbrn","IEC","International Electrotechnical Commission",""
"cbrn","KeV","Kiloelectronvolts",
"cbrn","kilobecquerel","","A unit of radioactivity equal to one thousand becquerels."
"cbrn","MDA","minimum detectable activity",
"cbrn","MeV","Megaelectron-volt",""
"cbrn","microsievert","","The sievert is the special name for the SI unit of equivalent dose, effective dose, and operational dose quantities. The unit is joule per kilogram.  1 microsievert = 0.000001 sieverts"
"cbrn","microsieverts","","The sievert is the special name for the SI unit of equivalent dose, effective dose, and operational dose quantities. The unit is joule per kilogram.  1 microsievert = 0.000001 sieverts"
"cbrn","milliroentgen","","A unit of exposure to ionizing radiation, one thousandth of a roentgen."
"cbrn","MIME","Multipurpose Internet Mail Extensions",
"cbrn","mR","milliroentgen",
"cbrn","mRh","milliroentgen per hour (mR/h)",
"cbrn","N42","","The ANSI/IEEE N42.42 standard specifies the XML data format that shall be used for both required and optional data to be made available by radiation measurement instruments."
"cbrn","n42Doc","N42 XML document",
"cbrn","Reachback","","A process by which commanders, their staffs and deployed forces may be provided with timely, coordinated and authoritative advice on Chemical, Biological, Radiological and Nuclear issues, drawing upon remote expert sources of information."
"cbrn","UID","Unique Identifier",
"cbrn","uSv","microsieverts",
"cbrn","uSvh","microsieverts per hour (uSv/h)",
"cbrn","UTF8","UCS Transformation Format—8-bit",
"cbrn","UUID","Universally Unique Identifier",
"cbrn","WGS-84","","The standard U.S. Department of Defense definition of a global reference system for geospatial information and the reference system for the Global Positioning System (GPS)."
"cbrn","X","The first dimension",
"cbrn","XY","A two dimensional array or pair of values for a data point",
"cbrncl","CBRN","Chemical, Biological, Radiological and Nuclear",""
"cbrncl","CFR","","Code of Federal Regulations"
"cbrncl","GNDA","Global Nuclear Detection Architecture",
"cbrncl","MIME","Multipurpose Internet Mail Extensions",
"cbrncl","Reachback","","A process by which commanders, their staffs and deployed forces may be provided with timely, coordinated and authoritative advice on Chemical, Biological, Radiological and Nuclear issues, drawing upon remote expert sources of information."
"cbrncl","UNECE","United Nations Economic Commission for Europe",
"cbrncl","W3C","World Wide Web Consortium",""
"commodity","CFS","Commodity Flow Survey",""
"commodity","SCTG","Standard Classification of Transported Goods",""
"cui","CUI","Controlled Unclassified Information",""
"cui","DLONLY","Dissemination List Controlled Only",""
"cui","LDC","Limited Dissemination Control",""
"cui","RELTO","Releasable To",""
"edxl_rm","EDXL","Emergency Data Exchange Language",""
"edxl-have","EDXL","Emergency Data Exchange Language",""
"edxl-have","HAVE","Hospital Availability Exchange",""
"em","Cat-C","","FEMA Category C: Roads and Bridges"
"em","Cat-D","","FEMA Category D: Water Control Facilities"
"em","Cat-E","","FEMA Category E: Buildings and Equipment"
"em","Cat-F","","FEMA Category F: Utilities"
"em","CATG","","FEMA Category G: Parks, Recreation, and Other"
"em","Cat-G","","FEMA Category G: Parks, Recreation, and Other"
"em","Decon","Decontamination",
"em","EMS","Emergency Medical Service",
"em","EOC","Emergency Operations Center",
"em","EPM","Emergency Protective Measures",""
"em","ESF","Emergency Support Function",""
"em","FEMA","Federal Emergency Management Agency",""
"em","FIPS","Federal Information Processing Standards",""
"em","FIPS201","","FIPS 201 is a United States federal government standard that specifies Personal Identity Verification requirements for Federal employees and contractors."
"em","Geo","geo-coded",
"em","ICD","International Classification of Diseases",""
"em","IEC","International Electrotechnical Commission",""
"em","IMS","Incident Management System",""
"em","LCR","License, certificate or registration",""
"em","MF","Multi-family",""
"em","MH","Manufactured home",""
"em","NIST","National Institute of Standards and Technology",""
"em","NISTSP800733","","NIST Special Publication 800-73-3 Interfaces for Personal Identity Verification"
"em","NPI","National Provider ID",""
"em","NRCS","Natural Resources Conservation Service",""
"em","OBGYN","Obstetrics & Gynecology",
"em","Passcode",,"A numeric password."
"em","PHEOC","Public Health Emergency Operations Centers",""
"em","PIV","Personal Identity Verification",""
"em","PSAP","Public Safety Answering Point",""
"em","RGB","Red Green Blue",""
"em","SOP","Standard Operating Procedures",""
"em","SP","Special Publication",""
"em","URN","Uniform Resource Name",
"em","USACE","United States Army Corps of Engineers",""
"em","X509","","X.509 is a standard defining the format of public key certificates."
"genc","Alpha2",,"Two-letter"
"genc","Alpha3","","Three-letter"
"geo","GML","Geography Markup Language",""
"geo","Multi",,"one or more"
"geo","OGC","Open Geospatial Consortium",""
"have-codes","Decon","Decontamination",
"have-codes","EMS","Emergency Medical Service",
"have-codes","EOC","Emergency Operations Center",
"hazmat","UN","United Nations",
"hs","AFCARS","Adoption and Foster Care Analysis and Reporting System (AFCARS)",""
"hs","ASFA","Adoption and Safe Families Act",""
"hs","CFR","","Code of Federal Regulations"
"hs","Comp","Compensation",""
"hs","EBT","Electronic Benefit Transfer",""
"hs","FEIN","Federal Employer Identification Number",""
"hs","FIPS","Federal Information Processing Series",""
"hs","firesetting","","A behavior that includes setting fires both accidentally and intentionally."
"hs","FS","Food Stamps",""
"hs","habilitative","","Habilitative services help a person keep, learn, or improve skills and functioning for daily living."
"hs","ICPC","Interstate Compact on the Placement of Children",""
"hs","ICWA","Indian Child Welfare Act",""
"hs","IV-D","","Title IV-D of the Social Security Act"
"hs","IV-E","","Title IV-E of the Social Security Act addressing Federal Payments for Foster Care and Adoption Assistance."
"hs","NCANDS","National Child Abuse and Neglect Data System",""
"hs","NCIC","National Crime Information Center",""
"hs","NCP","Noncustodial parent",""
"hs","NPI","National Provider Identifier",""
"hs","PARIS","Public Assistance Reporting Information System",""
"hs","Polyvictimization","","Multiple victimizations of a person"
"hs","SSA","Social Security Administration",""
"hs","SSI","Supplemental Security Income",""
"hs","SSN","Social Security Number",""
"hs","TANF","Temporary Assistance to Needy Families",""
"hs","UCCJEA","Uniform Child Custody Jurisdiction and Enforcement Act",""
"hs","VA","Veterans Affairs",""
"im","CIS","Citizenship and Immigration Service",""
"im","DS","Department of State",""
"im","EV","Exchange Visitor",""
"im","F1","F-1 visa",
"im","F2","F-2 visa",
"im","Hague",,"The Hague is the seat of government in the Netherlands, and the capital city of the province of South Holland."
"im","I20s","Form I-20",
"im","ICE","Immigration and Customs Enforcement",
"im","J2","J-2 visa",
"im","K9","canine",
"im","M1","M1 visa",
"im","M2","M2 visa",
"im","PIN","Personal Identification Number",
"im","PL94-484","Public Law 94-484",
"im","SEVIS","Student and Exchange Visitor Information System",
"im","SSN","Social Security Number",
"im","USCIS","United States Citizenship and Immigration Services",
"intel","Alpha2",,"Two-letter"
"intel","Alpha3",,"Three-letter"
"intel","CBEFF","Common Biometric Exchange Formats Framework",
"intel","ECR","(Threat Group Member) Criteria for Entry",
"intel","FBI","Federal Bureau of Investigation",
"intel","FIPS","Federal Information Processing Standards",
"intel","FIPS10-4","","The FIPS 10-4 standard, Countries, Dependencies, Areas of Special Sovereignty, and Their Principal Administrative Divisions, was a list of two-letter country codes that were used by the U.S. Government for geographical data processing in many publications."
"intel","ICMWG","Intelligence Community Metadata Working Group",""
"intel","INA","Immigration and Nationality Act",
"intel","ISO","International Organization for Standardization",
"intel","ISO3166","","ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
"intel","NCTC","National Counterterrorism Center",
"intel","VGTOF","Violent Gang and Terrorist Organizations File",""
"iso_3166","Alpha2",,"Two-letter"
"iso_3166","Alpha3",,"Three-letter"
"it","ChA1","HMRC Charity application form",
"it","CHAI","HMRC Charity application form",
"it","Deconsolidator","","A receiving party of a consolidated shipment, who divides the latter into its original single consignments and undertakes to make them available to be delivered."
"it","EMS","Emergency Medical Service",
"it","FTZ","Foreign Trade Zone",""
"it","HTS","Harmonized Tariff Schedule",
"it","IATA","International Air Transport Association",
"it","IMO","International Maritime Organization",
"it","INCOTERMS","International Commercial Terms",
"it","ISO","International Organization for Standardization",
"it","ISO6346","","ISO 6346 is an international standard covering the coding, identification and marking of intermodal (shipping) containers used within containerized intermodal freight transport."
"it","MFA","Multi Fibre Arrangement",
"it","NTN","National Training Numbers",
"it","SCAC","Standard Carrier Alpha Code",
"it","Transhipment","","The shipment of goods or containers to an intermediate destination, then to another destination."
"it","UCR","Unique Customs Reference",
"it","UNDG","United Nations Development Group",
"it","VIR","Vehicle Inspection Report",
"it","WCO","World Customs Organization",
"itcodes","ISO","International Organization for Standardization",
"itcodes","ISO6346","","ISO 6346 is an international standard covering the coding, identification and marking of intermodal (shipping) containers used within containerized intermodal freight transport."
"itcodes","UNECE","United Nations Economic Commission for Europe",
"j","AAMVA","The American Association of Motor Vehicle Administrators",""
"j","ACD","AAMVA Code Dictionary",""
"j","ADA","Americans with Disabilities Act",""
"j","AFIS","Automated Fingerprint Identification System",
"j","Alpha",,"Letter(s)"
"j","Amber","America's Missing: Broadcast Emergency Response",
"j","ANSID20","The Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators",
"j","APCO","Association of Public-Safety Communications Officials (APCO) - International, Inc.",
"j","BAC","Blood Alcohol Concentration",""
"j","BOP","Bureau of Prisons",
"j","BPH","Board of Parole Hearings",""
"j","Brady","Brady Law",
"j","CDL","Commercial Driver's License",
"j","CFR","","Code of Federal Regulations"
"j","CHRI","Criminal History Record Information",
"j","CJIS","Criminal Justice Information System",""
"j","CLP","Commercial Learners Permit",""
"j","CMV","Commercial Motor Vehicle",
"j","CODIS","Combined DNA Index System",
"j","COMPAS","Correctional Offender Management Profiling for Alternative Sanctions",""
"j","DEA","Drug Enforcement Administration",
"j","DHS","Department of Homeland Security",
"j","DMH","Department of Mental Health",""
"j","DNA","Deoxyribonucleic acid",
"j","DOT","Department of Transportation",
"j","EMS","Emergency Medical Service",
"j","Enhanceable","","An enhanceable offense means that specific factors can increase the severity level of the offense."
"j","FBI","Federal Bureau of Investigation",
"j","FCN","file control number",""
"j","FFL","federal firearms license",""
"j","FIPS","Federal Information Processing Standards",
"j","GDEP","Geographic-Drug Enforcement Program",
"j","GVWR","gross vehicle weight rating",""
"j","HazMat","Hazardous Materials",
"j","HME","Hazardous Material Endorsement",
"j","HRSO","high risk sex offender",""
"j","IAFIS","Integrated Automated Fingerprint Identification System",
"j","IBIS","Integrated Ballistic Identification System",
"j","ICC","Interstate Commerce Commission",
"j","ISBN","International Standard Book Number",
"j","JABS","JABS","Joint Automated Booking System"
"j","Keyhea","","Under the Keyhea injunction, 'involuntary medication' cannot be administered to a state prisoner for more than three days unless the professional staff of the facility in which the prisoner is incarcerated has analyzed the prisoner's condition and found that the prisoner is, as a result of a mental disorder, 'gravely disabled and incompetent to refuse medication or a danger to others, or a danger to self,' and the prisoner has been 'advised of the need for, but has not been willing to accept medication on a voluntary basis.'"
"j","LEOKA","Law Enforcement Officer Killed or Assaulted",
"j","LIS","License Plate State",
"j","Livescan","","An inkless, electronic means of capturing fingerprints in a digitized format and then transmitting them to a state repository and/or the FBI"
"j","LSTA",,"State/Country Index"
"j","MACR","Monthly Arrest and Citation Register",
"j","MCMIS","Motor Carrier Management Information System",""
"j","MCO","Manufacturer's certificate of origin",
"j","MCSIP","Motor Carrier Safety Improvement Process",
"j","MDO","mentally disordered offender",""
"j","MHSDS","Mental Health Services Delivery System",""
"j","MMUCC","Model Minimum Uniform Crash Criteria",
"j","MO","Modus Operandi",
"j","ModusOperandi","Mode of operating",""
"j","Multi","Multiple",
"j","NCIC","National Crime Information Center",
"j","NCMEC","National Center for Missing & Exploited Children",""
"j","NDEX","National Data Exchange",
"j","NDEx","National Data Exchange",
"j","NIBRS","National Incident Based Reporting System",
"j","NICB","National Insurance Crime Bureau",
"j","NICS","National Instant Criminal Background Check System",""
"j","NLETS","National Law Enforcement Telecommunication Systems",
"j","OCA","Originating Case Agency",""
"j","ORI",,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
"j","POST","Peace Official Standards and Training",
"j","Postdirectional","","A word following a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
"j","Predirectional","","A word preceding a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
"j","PRISM","Performance and Registration Information Systems Management",
"j","REALID",,"Public Law 109–13, 119 Statute 302, enacted May 11, 2005, was an Act of Congress that modified U.S. federal law pertaining to security, authentication, and issuance procedures standards for the state driver's licenses and identification (ID) cards, as well as various immigration issues pertaining to terrorism."
"j","RES","Registration State",
"j","RH","","Rhesus (Rh) factor is an inherited protein found on the surface of red blood cells."
"j","RICO","Racketeer Influenced and Corrupt Organizations",""
"j","SAFESTAT","Safety Status Measurement System",
"j","Separatee","A person who must be kept separate from another person.",""
"j","SMT","Scars, Marks, Tattoos, and Other Characteristics",
"j","SSN","Social Security Number",""
"j","TCD","traffic control device",""
"j","TCN","Transaction Control Number",""
"j","TripleI","III - Interstate Identification Index system",
"j","TSA","","Transportation Security Administration"
"j","TYP","(Firearm) Type",
"j","TYPA","(Article) Type",
"j","TYPO","(ORI) Type",
"j","UCR","Uniform Crime Reporting",
"j","USDOT","United States Department of Transportation",
"j","USMS","United States Marshal Service",
"j","VICAP","Violent Criminal Apprehension Program",
"j","VIN","Vehicle Identification Number",
"j","VINA","Vehicle Identification Number Analysis",
"j","WHTI","Western Hemisphere Travel Initiative",""
"j","XRay","X-Ray",
"j","XRays","X-Rays",
"jp2-0","DoD","Department of Defense",""
"jp3-52","ACM","Airspace Coordinating Measure",""
"m","Alpha2",,"Two-letter"
"m","Alpha3",,"Three-letter"
"m","APR","April",
"m","APR07","April 2007",""
"m","BE","Basic Encyclopedia",
"m","CANUS","Canada/USA",
"m","CANUSLexiconAPR07","April 2007 Canada/USA Bi-National Vessel of Interest (VOI) Lexicon",
"m","CDC","Certain Dangerous Cargo",
"m","CFR","","Code of Federal Regulations"
"m","COTP","Captain of the Port",
"m","CVSSA","Cruise Vessel Security and Safety Act",
"m","DOC","Document of Compliance",
"m","FIPS","Federal Information Processing Standards",
"m","Helo","helicopter",
"m","HIN","Hull Identification Number",
"m","IMO","International Maritime Organization",
"m","IRCS","International Registered Call Sign",
"m","ISM","International Safety Management",
"m","ISO","International Organization for Standardization",
"m","ISO3166","","ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
"m","ISPS","International Ship and Port Facility Security",
"m","ISSC","International Ship Security Certificate",
"m","MMSI","Maritime Mobile Service Identity",
"m","NORTHCOM","Northern Command",""
"m","SCONUM","Ship Control Number",
"m","TRDM","US Transportation Command (USTRANSCOM) Reference Data Model (TRDM)",
"m","UN","United Nations",
"m","UNECE","United Nations Economic Commission for Europe",
"m","UNLOCODE","United Nations Code for Trade and Transport Locations",
"m","USMTF","United States Message Text Format",
"mmucc","BAC","Blood Alcohol Concentration",""
"mmucc","GVWR","Gross vehicle weight rating",""
"mmucc","GVWRs","Gross vehicle weight rating",""
"mmucc","HazMat","Hazardous Materials",
"mmucc","NA","Not applicable",
"mmucc","NR","Not reported",
"mmucc","Trafficway",,"A highway or roadway open to traffic."
"mo","Aimpoint","","A point associated with a target and assigned for a specific weapon impact."
"mo","AMETL","Agency Mission Essential Task List",""
"mo","codespace","","A controlled vocabulary"
"mo","DNS","Domain Name System",""
"mo","DoD","Department of Defense",""
"mo","DSN","Defense Switched Network",""
"mo","FMID","Force Management Identifier",""
"mo","GFM","Global Force Management",""
"mo","JS","Joint Staff",""
"mo","MGRS","Military Grid Reference System",""
"mo","MilOps","Military Operations",""
"mo","MILSTD","Military Standard",""
"mo","MILSTD2525-B","Military Standard 2525 B (MIL-STD-2525B)",
"mo","MILSTD2525-C","Military Standard 2525 C (MIL-STD-2525C)",
"mo","MILSTD2525-D","Military Standard 2525 D (MIL-STD-2525D)",
"mo","NIST","National Institute of Standards and Technology",""
"mo","OPEX","Operation Exercise",
"mo","POC","Point of Contact",""
"mo","SIDC","Symbol Identification Code",
"mo","SP","Special Publication",""
"mo","STANAG","Standardization Agreement",
"mo","UIC","Unit Identification Code",
"mo","ULN","Unit Line Number",""
"mo","UPS","Universal Polar Stereographic",""
"mo","URN","Unit Reference Number",
"mo","UTM","Univeral Transvere Mercator",""
"mo","UUID","Universally unique identifier",""
"mo","Waypoint","","A point or a series of points to which a moving object may be vectored."
"mo","WGS84","World Geodetic System 84",
"nc","2D","Two-dimensional",
"nc","3D","Three-dimensional",
"nc","Alpha2",,"Two-letter"
"nc","Alpha3",,"Three-letter"
"nc","CMV","Commercial Motor Vehicle",
"nc","DEA","Drug Enforcement Administration",
"nc","ESN","electronic serial number",
"nc","FATCA","Foreign Account Tax Compliance Act",""
"nc","FIPS","Federal Information Processing Standards",
"nc","GENC","Geopolitical Entities, Names, and Codes",
"nc","GSM","Global System for Mobile communication",""
"nc","IMEI","International Mobile Equipment Identity",
"nc","IPv4","Internet Protocol version 4",""
"nc","IPv6","Internet Protocol version 6",""
"nc","ISO","International Organization for Standardization",
"nc","ISO3166","","ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
"nc","ISSN","International Standard Serial Number",""
"nc","MAC","media access control address",
"nc","MIME","Multipurpose Internet Mail Extensions",""
"nc","MSRP","Manufacturer's suggested retail price",""
"nc","NANP","North American Numbering Plan",
"nc","Postdirectional","","A word following a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
"nc","Predirectional","","A word preceding a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
"nc","RFID","Radio-frequency identification",""
"nc","RH","","Rhesus (Rh) factor is an inherited protein found on the surface of red blood cells."
"nc","SSN","Social Security Number",
"nc","TCP","Transmission Control Protocol",""
"nc","UMTS","Universal Mobile Telecommunications Service",""
"nc","UTC","Coordinated Universal Time",""
"nc","UTM","Universal Transverse Mercator",
"nces","CIP","Classification of Instructional Programs",""
"ncic","ABRA","Article Brand Name",""
"ncic","BCO","Boat Color",
"ncic","BLT","Blood Type",
"ncic","BMA","Boat Make",
"ncic","BPS","Body Parts Status",
"ncic","BRA","Boat Brand Name",
"ncic","BTMA","Vehicle Make for Boat Trailer",
"ncic","BTY","Boat Type",
"ncic","BXR","Body X-Rays Available",
"ncic","CAL","(Firearm) Caliber",
"ncic","CAT","(Vehicle/Boat Part) Category",
"ncic","CBTY","Canadian Boat Type",""
"ncic","CDA","Manner and Cause of Death",
"ncic","CMC","Caution and Medical Conditions",
"ncic","COL","(Physical Feature) Color",
"ncic","CPRO","Canadian Vehicle Index Propulsion",""
"ncic","CRC","Circumcision",
"ncic","CRR","Conviction Resulting in Registration",""
"ncic","CTZ","Citizenship",
"ncic","DBN","One Crime Inquiry Database Name",""
"ncic","DCH","Dental Characteristics",
"ncic","DEN","Denomination",
"ncic","ECR","(Threat Group Member) Criteria for Entry",
"ncic","EPD","(Boat) Engine Power or Displacement",
"ncic","ETN","Ethnicity",
"ncic","EXL","Extradition Limitation",
"ncic","EYE","Eye Color",
"ncic","FILE","FILE fields",
"ncic","FP","Fingerprint",""
"ncic","FPC","Fingerprint Classification",
"ncic","GOFF","","Offenses of General Applicability"
"ncic","GTYP","Gun Type Characteristic 1 Weapon Type",""
"ncic","GTYP2","Gun Type Characteristic 2",""
"ncic","GTYP3","Gun Type Combination",""
"ncic","GTYPE","Global Inquiry Type of Request",""
"ncic","HAI","Hair Color",
"ncic","HSP","(Boat) Hull Shape",
"ncic","HUL","(Boat) Outer Hull Material",
"ncic","IDT","Identity Theft Type",
"ncic","IFS","Identification for Firearm Sales",
"ncic","IMT","Image Type",
"ncic","JWT","Jewelry Type",
"ncic","LIS","License Plate State",
"ncic","LIT","License Plate Number",
"ncic","LITP","License Plate Type",""
"ncic","LSTA","State/Country Index",
"ncic","MAK","(Firearm) Make",
"ncic","MNP","Missing Person",
"ncic","MNU","(person identifier) Miscellaneous Number",
"ncic","MPC","Missing Person Circumstances",
"ncic","NICS","National Instant Criminal Background Check System",""
"ncic","NPF","Number of Missing Person Found",""
"ncic","OFF","Offense Code",
"ncic","OFS","Offender Status",""
"ncic","OLS","Operator License State",
"ncic","OOC","Original Offense Code",""
"ncic","ORI",,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
"ncic","PCC","Physical Feature Class",
"ncic","PCO","Protection Order Condition",
"ncic","PCS","(Fingerprint) Pattern Code Source",
"ncic","POB","Place of Birth",
"ncic","PRO","(Boat) Propulsion",
"ncic","PSC","Physical Feature Sub Class",
"ncic","RAC","Race",
"ncic","RES","Registration State",
"ncic","RMI","Ransom Money Indicator",
"ncic","ROV","Relationship of Victim",""
"ncic","RPP","Reason for Property Record Removal",""
"ncic","SDT","Security Date or Series Year",
"ncic","SEX","Gender",
"ncic","SKN","Skin Tone",
"ncic","SMT","Scars, Marks, Tattoos, and Other Characteristics",
"ncic","SVC","Service Information",""
"ncic","TRFU","Translation Field Usage",""
"ncic","TYP","(Firearm) Type",
"ncic","TYPA","Article Type",
"ncic","TYPO","ORI Type",
"ncic","TYPS","(Securities) Type",
"ncic","UDC","User Decision Code",""
"ncic","VCO","Vehicle Color",
"ncic","VMA","Vehicle Make",
"ncic","VMO","Vehicle Model",
"ncic","VPC","Violent Person Criteria",""
"ncic","VST","Vehicle Style",
"ndex","CAD","Computer Aided Dispatch",
"ndex","CAL","(Firearm) Caliber",
"ndex","E911","Emergency 911",
"ndex","JABS","Joint Automated Booking System",
"ndex","LEOKA","Law Enforcement Officer Killed or Assaulted",
"ndex","MO","Modus Operandi",
"ndex","NDEx","National Data Exchange",
"ndex","NIBRS","National Incident Based Reporting System",
"ndex","RAC","Race",
"ndex","SEX",,"The gender or sex of a person."
"ndex","VST","Vehicle Style",
"niem-xs","maxInclusive","","An inclusive maximum value. To be valid, a value must be less than or equal to the value of xs:maxInclusive."
"occs","OmniClass","","OmniClass is a comprehensive classification system for the construction industry."
"sar","FS","Functional Standard",""
"scr","ASA","Army Security Agency",
"scr","CBP","United States Customs and Border Protection",""
"scr","DoJ","Department of Justice",""
"scr","EFTS","Electronic Fingerprint Transmission Specification",
"scr","IATA","International Air Transport Association",
"scr","IDENT","Automated Biometric Identification System",""
"scr","INS","Immigration and Naturalization Service",
"scr","LPR","License Plate Reader",
"scr","NCIC","National Crime Information Center",
"scr","TECS","Traveler Encounter Compliance System",
"scr","USCIS","United States Citizenship and Immigration Services",""
"scr","Watchlist","","A document which contains a nomination list prepared and approved by the National Center of Counter Terrorism."
"st","AADT","Annual average daily traffic",""
"st","AAR","Association of American Railroads",""
"st","Trafficway","","Any land way open to the public as a matter of right or custom for moving persons or property from one place to another."
"stat","ISCO","International Standard Classification of Occupations",""
"stat","ISIC","International Standard Industrial Classification",""
"stat","SNA","System of National Accounts",""
"ucr","LEOKA","Law Enforcement Officer Killed or Assaulted",
"ucr","NIBRS","National Incident-Based Reporting System",""
"usda_fsa","CCC","Commodity Credit Corporation",""
"usda_fsa","FSA","Farm Service Agency",""
"xCard","IETF","Internet Engineering Task Force",""
"xCard","vCard","","vCard, also known as VCF (Virtual Contact File), is a file format standard for electronic business cards."
